id;year_published;amount;image;description
1;16823;33419;invoice Configuration Soft;Handmade payment
2;99062;80041;Account;plum District
3;33494;713;system;Cross-group
4;6487;51321;invoice Steel monitor;calculating Movies
5;22114;8702;Refined;Inlet
6;66369;35961;drive Franc;paradigms Consultant navigating
7;10390;16603;compress Switchable collaborative;Loan user-facing Vanuatu
8;9160;43126;Fresh Legacy;Vista Lanka Parkway
9;89456;98237;Island Cambridgeshire;services Multi-tiered Response
10;32270;17679;Soap white users;channels Balboa cross-media
